Record_ID,Voltage,Current,Frequency,Fault_Type,Asset_Type,Asset_ID,Severity,Confidence,Fault_Label
1,184.98,24.26,49.73,Voltage Sag,Transmission Line,TL-22A,Critical,94.79,0
2,176.24,12.34,49.06,Voltage Sag,Transmission Line,TL-22A,Critical,96.93,0
3,194.04,20.62,49.02,Voltage Sag,Transmission Line,TL-22A,Critical,97.76,0
4,203.3,13.19,49.18,Voltage Sag,Transmission Line,TL-22A,Critical,91.47,0
5,182.17,17.87,49.43,Voltage Sag,Transmission Line,TL-22A,Critical,92.33,0
6,194.47,12.09,49.29,Voltage Sag,Transmission Line,TL-22A,Critical,92.93,0
7,188.24,21.78,49.2,Voltage Sag,Transmission Line,TL-22A,Critical,94.11,0
8,193.7,10.7,49.61,Voltage Sag,Transmission Line,TL-22A,Critical,91.36,0
9,172.6,24.23,49.97,Voltage Sag,Transmission Line,TL-22A,Critical,96.47,0
10,182.18,11.47,49.68,Voltage Sag,Transmission Line,TL-22A,Critical,93.52,0
11,174.88,17.43,49.03,Voltage Sag,Transmission Line,TL-22A,Critical,97.27,0
12,180.35,19.94,49.31,Voltage Sag,Transmission Line,TL-22A,Critical,94.16,0
13,191.87,12.77,49.97,Voltage Sag,Transmission Line,TL-22A,Critical,96.2,0
14,207.58,23.42,49.6,Voltage Sag,Transmission Line,TL-22A,Critical,97.37,0
15,173.54,12.94,49.05,Voltage Sag,Transmission Line,TL-22A,Critical,92.6,0
16,185.55,14.07,49.83,Voltage Sag,Transmission Line,TL-22A,Critical,92.85,0
17,181.24,18.14,49.14,Voltage Sag,Transmission Line,TL-22A,Critical,96.42,0
18,172.98,24.8,49.77,Voltage Sag,Transmission Line,TL-22A,Critical,91.59,0
19,170.22,22.23,49.71,Voltage Sag,Transmission Line,TL-22A,Critical,95.83,0
20,200.85,11.11,49.36,Voltage Sag,Transmission Line,TL-22A,Critical,90.93,0
21,204.52,19.35,49.33,Voltage Sag,Transmission Line,TL-22A,Critical,90.51,0
22,182.44,14.88,49.73,Voltage Sag,Transmission Line,TL-22A,Critical,95.1,0
23,205.49,17.08,49.12,Voltage Sag,Transmission Line,TL-22A,Critical,95.71,0
24,200.43,18.42,49.77,Voltage Sag,Transmission Line,TL-22A,Critical,93.95,0
